document_id,product,topic,title,source_url,source_kind,language,license_id,license_evidence_url,redistribution_status,enabled
docker-001,docker,containers,Run containers,https://docs.docker.com/engine/containers/run/,official_docs,en,REVIEW_REQUIRED,https://github.com/docker/docs,local_snapshot_only,true
docker-002,docker,lifecycle,Start containers automatically,https://docs.docker.com/engine/containers/start-containers-automatically/,official_docs,en,REVIEW_REQUIRED,https://github.com/docker/docs,local_snapshot_only,true
docker-003,docker,storage,Volumes,https://docs.docker.com/engine/storage/volumes/,official_docs,en,REVIEW_REQUIRED,https://github.com/docker/docs,local_snapshot_only,true
docker-004,docker,networking,Container networking,https://docs.docker.com/engine/network/,official_docs,en,REVIEW_REQUIRED,https://github.com/docker/docs,local_snapshot_only,true
docker-005,docker,logging,Configure logging drivers,https://docs.docker.com/engine/logging/configure/,official_docs,en,REVIEW_REQUIRED,https://github.com/docker/docs,local_snapshot_only,true
docker-006,docker,logging,View container logs,https://docs.docker.com/reference/cli/docker/container/logs/,official_docs,en,REVIEW_REQUIRED,https://github.com/docker/docs,local_snapshot_only,true
docker-007,docker,resources,Runtime resource constraints,https://docs.docker.com/engine/containers/resource_constraints/,official_docs,en,REVIEW_REQUIRED,https://github.com/docker/docs,local_snapshot_only,true
docker-008,docker,security,Docker security,https://docs.docker.com/engine/security/,official_docs,en,REVIEW_REQUIRED,https://github.com/docker/docs,local_snapshot_only,true
nvidia-001,nvidia-container-toolkit,installation,Install NVIDIA Container Toolkit,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/install-guide.html,official_docs,en,Apache-2.0,https://github.com/NVIDIA/nvidia-container-toolkit,local_snapshot_only,true
nvidia-002,nvidia-container-toolkit,verification,Run a sample GPU workload,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/sample-workload.html,official_docs,en,Apache-2.0,https://github.com/NVIDIA/nvidia-container-toolkit,local_snapshot_only,true
nvidia-003,nvidia-container-toolkit,docker,Docker runtime configuration,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/docker-specialized.html,official_docs,en,Apache-2.0,https://github.com/NVIDIA/nvidia-container-toolkit,local_snapshot_only,true
nvidia-004,nvidia-container-toolkit,troubleshooting,Troubleshooting NVIDIA Container Toolkit,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/troubleshooting.html,official_docs,en,Apache-2.0,https://github.com/NVIDIA/nvidia-container-toolkit,local_snapshot_only,true
nvidia-005,nvidia-container-toolkit,architecture,Architecture overview,https://docs.nvidia.com/datacenter/cloud-native/container-toolkit/latest/arch-overview.html,official_docs,en,Apache-2.0,https://github.com/NVIDIA/nvidia-container-toolkit,local_snapshot_only,true
pytorch-001,pytorch,cuda,CUDA semantics,https://docs.pytorch.org/docs/stable/notes/cuda.html,official_docs,en,BSD-3-Clause,https://github.com/pytorch/docs,local_snapshot_only,true
pytorch-002,pytorch,cuda,torch.cuda.is_available,https://docs.pytorch.org/docs/stable/generated/torch.cuda.is_available.html,official_docs,en,BSD-3-Clause,https://github.com/pytorch/docs,local_snapshot_only,true
pytorch-003,pytorch,reproducibility,Reproducibility,https://docs.pytorch.org/docs/stable/notes/randomness.html,official_docs,en,BSD-3-Clause,https://github.com/pytorch/docs,local_snapshot_only,true
pytorch-004,pytorch,serialization,Serialization semantics,https://docs.pytorch.org/docs/stable/notes/serialization.html,official_docs,en,BSD-3-Clause,https://github.com/pytorch/docs,local_snapshot_only,true
